usuario_id,contenido_id,tipo_contenido,fecha_comentario,tipo,editado
1495,607,Post,2020-04-09,"['Sticker', 'Emoji', 'Texto']",False
196,273,Post,2022-06-09,"['Texto', 'Sticker', 'Emoji']",False
324,256,Post,2023-06-04,['Texto'],False
435,162,Post,2023-10-28,"['Texto', 'Sticker']",False
801,967,Post,2020-05-03,"['Emoji', 'Sticker', 'Texto']",True
433,550,Post,2020-07-12,['Texto'],True
1245,302,Post,2023-01-06,"['Emoji', 'Texto', 'Sticker']",False
346,436,Post,2023-01-02,"['Emoji', 'Sticker', 'Texto']",False
924,820,Post,2022-03-01,"['Emoji', 'Sticker']",False
728,89,Post,2020-09-14,"['Sticker', 'Emoji', 'Texto']",False
1231,1054,Post,2025-02-13,"['Emoji', 'Texto', 'Sticker']",True
627,493,Post,2025-01-29,"['Emoji', 'Sticker', 'Texto']",False
574,3,Post,2022-07-10,"['Texto', 'Emoji']",False
1188,72,Post,2025-01-12,"['Emoji', 'Sticker', 'Texto']",True
708,272,Post,2021-10-02,['Emoji'],True
384,2,Post,2022-06-25,"['Sticker', 'Emoji']",True
105,1092,Post,2022-06-08,"['Texto', 'Sticker', 'Emoji']",True
334,1188,Post,2020-09-22,['Texto'],True
794,953,Post,2023-06-17,"['Texto', 'Sticker']",True
1156,1011,Post,2020-11-17,"['Texto', 'Sticker', 'Emoji']",False
208,296,Post,2023-04-01,"['Sticker', 'Texto', 'Emoji']",True
766,452,Post,2020-07-10,['Texto'],False
1066,1149,Post,2021-09-28,"['Sticker', 'Texto', 'Emoji']",True
866,354,Post,2024-11-29,"['Sticker', 'Texto']",True
200,264,Post,2023-11-19,"['Texto', 'Emoji', 'Sticker']",False
1335,557,Post,2024-12-05,"['Emoji', 'Sticker']",True
299,612,Post,2021-06-12,"['Emoji', 'Texto']",True
1390,145,Post,2023-09-12,"['Emoji', 'Texto']",True
1014,210,Post,2021-08-16,['Sticker'],False
1390,1189,Post,2021-05-04,"['Sticker', 'Texto', 'Emoji']",False
196,622,Post,2022-11-29,"['Sticker', 'Texto', 'Emoji']",True
1011,353,Post,2023-01-05,['Sticker'],True
499,365,Post,2022-12-27,"['Sticker', 'Texto', 'Emoji']",False
42,211,Post,2023-12-10,['Texto'],False
1139,702,Post,2022-09-29,"['Emoji', 'Texto']",False
410,820,Post,2021-01-24,['Sticker'],False
747,67,Post,2022-05-16,['Texto'],True
515,490,Post,2023-02-01,['Texto'],False
1099,871,Post,2020-07-10,"['Sticker', 'Emoji']",False
786,602,Post,2024-08-02,"['Emoji', 'Texto']",False
496,423,Post,2020-06-23,['Texto'],False
1071,194,Post,2023-11-04,"['Emoji', 'Sticker']",True
175,1193,Post,2023-06-02,"['Emoji', 'Texto', 'Sticker']",True
138,624,Post,2020-05-13,"['Texto', 'Sticker']",True
1287,336,Post,2022-02-16,"['Emoji', 'Texto']",True
546,799,Post,2023-09-09,"['Emoji', 'Texto']",True
625,795,Post,2022-02-18,"['Texto', 'Sticker']",True
1041,1060,Post,2022-05-31,"['Texto', 'Emoji', 'Sticker']",False
1296,407,Post,2020-04-07,"['Sticker', 'Emoji', 'Texto']",False
1389,1005,Post,2025-02-07,['Texto'],True
1008,322,Post,2020-11-25,"['Emoji', 'Texto']",True
1330,178,Post,2023-05-23,['Texto'],True
627,11,Post,2020-10-25,"['Texto', 'Sticker']",False
828,42,Post,2023-09-10,"['Sticker', 'Texto']",False
517,760,Post,2024-12-18,['Sticker'],False
1265,735,Post,2022-01-04,"['Emoji', 'Texto', 'Sticker']",True
880,1194,Post,2021-03-15,['Texto'],False
456,1070,Post,2022-03-29,"['Texto', 'Emoji', 'Sticker']",True
380,656,Post,2021-11-01,"['Texto', 'Emoji']",False
554,974,Post,2022-04-07,"['Texto', 'Sticker']",False
120,609,Post,2023-05-14,['Sticker'],True
592,300,Post,2021-11-10,"['Emoji', 'Sticker', 'Texto']",False
318,866,Post,2022-08-19,['Sticker'],True
526,828,Post,2022-11-25,"['Texto', 'Emoji']",True
899,329,Post,2021-08-15,"['Sticker', 'Emoji']",False
1413,21,Post,2024-09-11,"['Emoji', 'Texto']",True
447,985,Post,2020-06-01,"['Texto', 'Sticker', 'Emoji']",False
771,778,Post,2022-06-10,"['Emoji', 'Texto', 'Sticker']",False
1491,987,Post,2022-01-08,['Sticker'],True
527,346,Post,2021-10-04,"['Emoji', 'Sticker']",True
361,1104,Post,2021-08-31,"['Sticker', 'Emoji', 'Texto']",True
1034,297,Post,2023-06-10,"['Texto', 'Emoji']",False
1463,1195,Post,2022-05-06,"['Emoji', 'Sticker', 'Texto']",False
1350,1035,Post,2022-07-06,['Emoji'],False
1420,77,Post,2022-06-04,"['Emoji', 'Texto']",True
939,711,Post,2023-05-04,"['Texto', 'Emoji']",False
76,1145,Post,2024-06-30,"['Sticker', 'Texto']",True
663,1068,Post,2020-12-18,"['Emoji', 'Sticker']",True
62,776,Post,2023-08-08,['Sticker'],False
153,793,Post,2022-09-21,"['Sticker', 'Texto']",False
650,143,Post,2025-02-16,['Texto'],False
539,228,Post,2022-06-24,"['Texto', 'Emoji']",False
1027,863,Post,2023-09-09,"['Sticker', 'Emoji']",True
233,861,Post,2020-12-20,"['Sticker', 'Texto', 'Emoji']",True
1359,491,Post,2022-12-12,['Sticker'],True
1007,63,Post,2021-07-01,"['Sticker', 'Texto']",True
427,968,Post,2024-06-10,"['Emoji', 'Sticker', 'Texto']",True
414,672,Post,2023-08-23,"['Texto', 'Sticker']",True
334,40,Post,2024-11-04,"['Sticker', 'Emoji']",True
1450,1130,Post,2021-02-12,"['Emoji', 'Sticker']",True
595,99,Post,2022-12-10,"['Texto', 'Emoji']",False
648,180,Post,2021-01-30,"['Texto', 'Sticker', 'Emoji']",False
26,765,Post,2023-03-25,"['Emoji', 'Texto', 'Sticker']",True
1314,535,Post,2023-08-31,['Emoji'],True
690,1079,Post,2024-02-13,"['Emoji', 'Texto', 'Sticker']",True
768,1002,Post,2022-09-20,['Texto'],True
220,844,Post,2020-04-22,"['Emoji', 'Sticker', 'Texto']",True
330,1104,Post,2024-04-17,"['Emoji', 'Texto', 'Sticker']",False
1259,1037,Post,2025-02-24,"['Sticker', 'Emoji', 'Texto']",True
1462,988,Post,2022-04-19,"['Texto', 'Sticker', 'Emoji']",True
787,178,Post,2025-01-04,"['Texto', 'Sticker', 'Emoji']",True
456,774,Post,2020-12-18,"['Emoji', 'Sticker']",False
1209,403,Post,2023-11-20,"['Sticker', 'Emoji']",True
108,477,Post,2020-05-26,"['Emoji', 'Texto']",False
954,1121,Post,2023-10-04,"['Sticker', 'Emoji', 'Texto']",False
1499,133,Post,2020-04-17,['Sticker'],False
818,1152,Post,2024-10-08,"['Texto', 'Sticker', 'Emoji']",False
630,118,Post,2020-12-30,"['Sticker', 'Emoji']",False
856,57,Post,2021-05-03,"['Texto', 'Sticker', 'Emoji']",False
197,583,Post,2023-01-29,"['Emoji', 'Sticker', 'Texto']",True
927,599,Post,2023-11-22,"['Emoji', 'Texto', 'Sticker']",False
1226,1020,Post,2020-09-05,"['Emoji', 'Texto', 'Sticker']",True
26,230,Post,2023-06-30,"['Emoji', 'Sticker', 'Texto']",False
764,313,Post,2020-05-31,['Sticker'],False
762,802,Post,2021-06-22,"['Emoji', 'Sticker']",True
1133,868,Post,2024-09-01,"['Sticker', 'Emoji', 'Texto']",True
1368,803,Post,2021-07-24,"['Sticker', 'Texto', 'Emoji']",False
955,1179,Post,2021-05-30,"['Sticker', 'Emoji']",True
1133,135,Post,2022-05-31,"['Emoji', 'Sticker']",False
1184,961,Post,2024-10-30,"['Texto', 'Emoji', 'Sticker']",False
172,386,Post,2025-02-14,"['Texto', 'Emoji', 'Sticker']",True
986,825,Post,2023-11-17,['Emoji'],True
808,582,Post,2020-09-20,"['Sticker', 'Texto', 'Emoji']",False
1072,950,Post,2022-10-22,"['Emoji', 'Sticker', 'Texto']",False
606,1024,Post,2024-03-14,['Emoji'],True
1381,988,Post,2020-08-03,"['Texto', 'Sticker']",True
1190,886,Post,2023-08-22,['Emoji'],False
1292,705,Post,2024-04-21,['Texto'],False
648,859,Post,2023-02-15,['Sticker'],False
120,845,Post,2023-06-29,['Texto'],True
72,208,Post,2022-12-15,"['Texto', 'Sticker']",False
1272,860,Post,2020-06-07,"['Texto', 'Sticker']",True
440,359,Post,2020-04-22,['Sticker'],True
1008,409,Post,2020-04-24,['Emoji'],False
1059,358,Post,2021-09-15,"['Texto', 'Sticker']",True
259,95,Post,2021-02-11,['Sticker'],False
1140,920,Post,2024-12-29,['Sticker'],False
247,759,Post,2023-12-27,"['Emoji', 'Texto']",False
1484,960,Post,2023-12-11,['Texto'],True
1268,1113,Post,2023-09-27,['Emoji'],False
1405,731,Post,2022-09-25,"['Texto', 'Sticker']",False
792,56,Post,2023-12-09,"['Emoji', 'Texto']",False
87,3,Post,2020-03-18,"['Emoji', 'Sticker']",False
340,1124,Post,2022-10-17,"['Texto', 'Emoji']",True
534,672,Post,2024-11-20,"['Sticker', 'Emoji']",False
1267,374,Post,2023-08-21,['Texto'],True
108,38,Post,2020-05-25,"['Sticker', 'Emoji']",False
627,237,Post,2020-11-06,"['Sticker', 'Texto']",True
170,1040,Post,2023-08-02,"['Texto', 'Emoji', 'Sticker']",True
3,776,Post,2023-01-21,"['Emoji', 'Sticker', 'Texto']",True
1024,57,Post,2023-07-17,"['Emoji', 'Sticker']",False
1076,968,Post,2020-09-28,"['Texto', 'Emoji', 'Sticker']",False
291,255,Post,2021-05-11,['Sticker'],False
223,301,Post,2022-10-17,['Texto'],False
798,703,Post,2023-11-12,"['Texto', 'Sticker', 'Emoji']",True
1382,197,Post,2023-08-28,"['Emoji', 'Sticker']",False
1118,209,Post,2021-04-18,['Sticker'],False
1439,336,Post,2022-12-24,['Texto'],True
1113,771,Post,2023-08-29,['Emoji'],True
286,206,Post,2025-02-07,['Texto'],False
51,1170,Post,2023-02-07,"['Texto', 'Sticker']",False
1128,398,Post,2020-09-12,"['Emoji', 'Texto']",False
813,13,Post,2021-05-08,"['Emoji', 'Texto', 'Sticker']",False
619,32,Post,2023-04-25,"['Sticker', 'Emoji', 'Texto']",False
639,584,Post,2020-09-19,['Emoji'],False
756,772,Post,2023-09-29,"['Sticker', 'Texto']",False
381,180,Post,2021-04-21,['Texto'],True
1196,370,Post,2024-06-03,"['Sticker', 'Texto', 'Emoji']",False
788,169,Post,2020-05-27,['Texto'],True
210,803,Post,2021-08-22,"['Emoji', 'Texto']",False
308,776,Post,2023-05-27,"['Sticker', 'Texto', 'Emoji']",True
1494,235,Post,2021-01-30,"['Texto', 'Emoji', 'Sticker']",True
555,700,Post,2022-06-28,"['Emoji', 'Texto', 'Sticker']",False
383,169,Post,2021-09-04,"['Texto', 'Emoji', 'Sticker']",True
68,180,Post,2021-06-12,"['Sticker', 'Texto', 'Emoji']",True
980,466,Post,2024-08-16,['Texto'],False
807,720,Post,2022-08-22,"['Sticker', 'Texto']",True
563,221,Post,2024-05-25,['Emoji'],False
687,49,Post,2022-08-05,"['Texto', 'Sticker', 'Emoji']",True
197,1162,Post,2023-06-04,"['Emoji', 'Texto']",True
372,542,Post,2025-02-19,"['Texto', 'Sticker', 'Emoji']",False
57,820,Post,2024-04-17,"['Texto', 'Sticker']",True
1421,263,Post,2024-08-03,['Texto'],False
789,569,Post,2023-01-29,"['Sticker', 'Texto', 'Emoji']",True
714,692,Post,2021-03-12,"['Emoji', 'Texto', 'Sticker']",True
362,153,Post,2021-12-10,['Emoji'],False
350,573,Post,2023-09-29,"['Sticker', 'Texto']",False
158,1049,Post,2024-08-22,['Texto'],True
1132,848,Post,2020-10-11,['Sticker'],True
1078,1013,Post,2022-06-26,['Texto'],False
459,1062,Post,2024-09-28,"['Sticker', 'Emoji', 'Texto']",True
544,318,Post,2020-05-03,['Emoji'],False
951,122,Post,2022-06-29,"['Texto', 'Sticker', 'Emoji']",False
1189,383,Post,2022-06-03,"['Sticker', 'Texto']",False
1491,383,Post,2023-05-09,"['Emoji', 'Texto']",True
1434,537,Post,2022-02-15,"['Sticker', 'Texto', 'Emoji']",False
294,176,Post,2023-01-06,"['Texto', 'Sticker', 'Emoji']",True
1439,883,Post,2024-10-31,"['Texto', 'Sticker', 'Emoji']",True
792,973,Post,2020-06-26,['Sticker'],True
310,297,Post,2020-07-07,"['Sticker', 'Texto', 'Emoji']",True
856,332,Post,2021-04-17,['Texto'],True
28,1126,Post,2023-12-25,['Texto'],True
1186,178,Post,2021-04-26,"['Emoji', 'Texto']",True
1183,487,Post,2020-12-12,"['Sticker', 'Texto', 'Emoji']",True
186,141,Post,2023-12-14,"['Emoji', 'Texto', 'Sticker']",True
987,474,Post,2021-01-07,['Texto'],False
293,1163,Post,2022-06-03,"['Emoji', 'Sticker', 'Texto']",False
945,150,Post,2021-03-18,['Emoji'],True
620,289,Post,2021-01-19,['Emoji'],False
1374,818,Post,2021-04-17,"['Texto', 'Emoji', 'Sticker']",False
1381,940,Post,2021-01-30,"['Sticker', 'Emoji', 'Texto']",False
936,71,Post,2021-09-08,"['Sticker', 'Emoji', 'Texto']",False
504,135,Post,2020-07-01,['Emoji'],False
632,140,Post,2023-02-06,['Texto'],False
1285,535,Post,2024-08-04,"['Emoji', 'Sticker']",True
1193,735,Post,2024-06-04,"['Sticker', 'Texto']",True
421,533,Post,2024-06-07,"['Texto', 'Emoji']",False
1470,1140,Post,2022-08-19,"['Emoji', 'Sticker', 'Texto']",True
20,1077,Post,2020-09-22,"['Emoji', 'Texto', 'Sticker']",False
197,3,Post,2025-02-11,"['Emoji', 'Sticker', 'Texto']",False
499,165,Post,2021-10-26,"['Emoji', 'Sticker']",False
1381,813,Post,2023-06-24,"['Texto', 'Sticker', 'Emoji']",False
514,1023,Post,2021-08-02,"['Sticker', 'Emoji']",True
1048,1121,Post,2023-05-06,['Emoji'],False
891,1100,Post,2021-12-10,['Sticker'],True
265,564,Post,2020-12-04,"['Emoji', 'Texto']",True
24,243,Post,2022-01-14,"['Texto', 'Emoji']",False
524,584,Post,2022-09-19,"['Emoji', 'Texto']",True
