id,contenido,fecha_comentario,likes,reacciones,usuario_id,post_id
1,Red leader table politics the term item anything suffer perform traditional ball white Democrat model someone.,2023-12-18,21,😂;😡;🤔,1032,1010
2,From lose grow it for present baby road institution after.,2020-12-20,476,🤯;😂,184,650
3,Man fall none rich Congress exist debate whole particular policy itself military affect with unit food.,2020-04-17,363,😍;😂;😡,240,642
4,Sit impact religious social director gas animal station see enough concern night authority story Mr.,2021-07-31,22,🤯,576,739
5,Soon buy where such form woman radio drive food relationship make season sense themselves feeling.,2020-10-04,474,😡;🤔,1256,541
6,In sense military explain each security teacher test provide cultural mention determine result be show sure center near help four whom.,2021-12-04,264,😍;😂,647,1007
7,Service poor mean hard trade tough majority go heavy.,2024-03-11,391,👏,1347,902
8,Through hold increase appear create institution effect quite deep.,2022-05-08,27,😂,112,471
9,Meet our section responsibility discussion Mr purpose character develop keep instead live success total large detail.,2021-03-17,93,🤯,533,335
10,Feeling term leave though community including career each hotel Mrs recent meeting top never though major many.,2024-05-15,361,😍;❤️,1014,84
11,Party range practice wait stuff require catch government couple seek skin there thank while six live.,2024-02-11,226,😎;👏,994,938
12,Newspaper example enter change when lose level ball others go fear away senior short prepare debate.,2020-08-24,252,🤔,1475,304
13,Poor another surface school someone head ground media drug.,2022-08-16,63,❤️;😢,582,370
14,Gas moment when four price half garden Congress customer quality walk involve all.,2020-04-07,427,😎,1042,559
15,Employee ahead yourself say audience save spring once send.,2023-03-25,288,🎉;😢;🤔,9,1078
16,Back outside she maybe option human fire ball natural raise five Democrat which skin everybody interview.,2022-10-22,392,😂;😍;❤️,505,1021
17,Like interesting behavior poor possible memory protect exactly left on hundred prepare site himself.,2021-05-28,346,🔥,54,583
18,Administration health card identify within only admit politics attack responsibility reduce reality about Congress region many traditional talk firm study.,2022-03-18,348,❤️;😍;🔥,1210,218
19,Movement company choose effect great describe because home allow machine late during necessary study education run matter cold lay ten.,2021-03-30,428,😂;👍,167,943
20,Could paper example admit today them coach reveal situation.,2024-03-29,425,💯;🤯;🙌,1287,552
21,Study yeah Mr security record teacher including understand ten look believe bed data.,2023-04-09,304,👍;🔥;🤔,1344,928
22,Measure could center method crime too wife significant movement bad.,2021-12-09,166,😎;🙌;🎉,265,433
23,Very simply half cold budget nearly foreign theory southern around officer field though soldier away color your without form space.,2021-02-03,441,🙌,1319,580
24,Leave serious concern Mrs wall best detail mouth west begin through she run yeah whether assume.,2022-05-08,165,😎,145,1121
25,Country camera parent staff find church ready then off season drug several appear onto type community.,2024-07-14,487,😍;❤️;🤔,523,365
26,Choice toward far wrong fast husband cultural base third ground cultural approach artist development couple.,2022-10-07,122,❤️;👍,427,334
27,Act kid because Republican throw pattern thousand imagine pass field should floor image style.,2023-10-30,198,😡;💯,1340,316
28,See figure write field situation score contain opportunity center voice tax our game.,2020-08-15,61,🤯;🙌,886,636
29,Fill bank peace safe bill information bit reason him political real behavior arrive send style reduce.,2024-08-18,462,🎉;😂;🔥,1363,197
30,Civil economic son but movie individual me call reach plan material.,2023-07-29,426,👏;😢,1003,913
31,Practice herself peace single west air cover even of usually beat about.,2023-02-02,453,🤯;😡,1154,867
32,Discover product plant two water goal can car physical any cut certainly another population leg suddenly next past same.,2022-04-25,46,🙌;🔥,1258,382
33,News vote certain glass far control response and quality memory understand politics.,2021-05-29,222,😍;❤️;👍,1052,700
34,Way human south analysis need community very consider actually situation suggest though enjoy west human woman whom among often either base.,2024-06-05,498,💯;😢,1327,318
35,Measure job white employee along too forget subject issue care method man meet member road herself international work with perhaps.,2022-03-05,476,👏;💯,1326,1075
36,Deal probably appear positive those catch option those yeah son.,2021-10-19,42,🤯;😍,163,979
37,Him two lot operation program language think send past Democrat admit forget service room task minute something she role.,2024-12-01,153,😂,1402,616
38,Week now final operation send employee speak room whatever do key night.,2023-03-15,430,👏,876,606
39,Whatever impact Democrat argue north rock call role management space.,2022-04-30,291,👏,157,93
40,Service identify phone security including son here produce or coach similar vote movement control though moment clearly movie.,2020-03-02,262,👏,871,846
41,Money child health among together method interview road race story machine.,2023-08-21,48,💯;😎,1165,519
42,Maybe particularly human food necessary look especially exactly for offer friend bag group customer visit follow general skin.,2022-12-16,181,🎉;❤️,1032,34
43,Pick type record major Mr leader everybody whom ask player wife history thought up investment follow build security brother pay.,2024-05-06,58,💯;🤯;😂,374,805
44,Either difference party green five should single job thought particularly key out down reveal trial anyone western.,2023-02-20,23,😍,1443,610
45,Stand article book six student beat say offer present choice two certain modern service social Democrat sign outside.,2024-03-26,160,😎;🤯;💯,922,543
46,Improve any pick short job reason western source them wife ever soldier cultural feel above stuff.,2022-12-28,174,😢,380,161
47,Just drop some money hundred section bit generation end indicate administration each child.,2023-06-30,382,😡;💯;❤️,889,1095
48,Past join talk use station idea red many answer.,2022-12-25,9,😍,239,28
49,House recent soldier perhaps as out check most word impact school understand.,2021-06-17,87,🤯;🤔;😎,830,997
50,Hair amount wonder these we wide reveal sure power prevent news team purpose law themselves near become city.,2021-09-14,155,🤔;🎉;🔥,1415,809
51,Employee wall he local mention eye house knowledge participant strategy story store bank sit none now.,2021-01-01,411,❤️;😂,277,29
52,Measure lay hear attention occur read federal soldier page close deal beyond truth people concern service service military popular production.,2024-03-14,97,🤔,33,386
53,Key its here five today loss gun field partner possible remain police fill worker.,2023-10-29,439,😢,986,298
54,Likely manage from improve nor week rise stop enter partner today main water really fear both decision order level.,2020-08-02,332,😍,1283,1104
55,Body wear poor left teach short pass enjoy production.,2022-05-21,97,😡,950,304
56,Low common wall life matter husband billion garden possible rule maintain believe move then hear degree professor charge team.,2024-09-18,242,👍;❤️,341,313
57,Whom glass adult simple seek size student magazine our strategy gun maybe president I choice.,2024-09-01,378,🤯;🤔;🙌,41,921
