usuario_id,seguido_id,desde,interaccion_frecuencia,razón
643,30,2020-03-16,Mensual,Interés en su contenido
1224,1439,2024-07-05,Semanal,Interés en su contenido
293,854,2024-07-23,Ocasional,Interés en su contenido
608,444,2024-02-03,Semanal,Interés en su contenido
270,456,2024-04-21,Mensual,Interés en su contenido
781,208,2025-01-20,Semanal,Interés en su contenido
207,322,2023-02-15,Diaria,Interés en su contenido
1353,214,2020-10-23,Mensual,Interés en su contenido
1262,591,2022-11-26,Mensual,Interés en su contenido
467,516,2023-07-24,Diaria,Interés en su contenido
9,1434,2021-07-08,Diaria,Interés en su contenido
374,1403,2021-04-16,Ocasional,Interés en su contenido
895,1432,2021-02-16,Semanal,Interés en su contenido
282,396,2021-11-06,Mensual,Interés en su contenido
1020,615,2024-01-13,Semanal,Interés en su contenido
1305,331,2025-02-08,Mensual,Interés en su contenido
815,1465,2020-06-10,Ocasional,Interés en su contenido
1033,1426,2020-09-08,Ocasional,Interés en su contenido
132,1052,2023-07-16,Semanal,Interés en su contenido
264,420,2024-11-14,Ocasional,Interés en su contenido
1077,1317,2024-08-09,Ocasional,Interés en su contenido
119,676,2022-07-20,Mensual,Interés en su contenido
139,795,2020-04-08,Diaria,Interés en su contenido
788,1429,2022-10-10,Diaria,Interés en su contenido
1498,410,2024-03-20,Mensual,Interés en su contenido
1179,1316,2023-08-03,Mensual,Interés en su contenido
821,627,2022-02-27,Ocasional,Interés en su contenido
1178,1228,2022-02-08,Mensual,Interés en su contenido
802,51,2020-04-01,Mensual,Interés en su contenido
1056,878,2025-02-06,Ocasional,Interés en su contenido
1277,552,2022-10-15,Ocasional,Interés en su contenido
395,1390,2024-02-28,Semanal,Interés en su contenido
8,1272,2021-01-01,Ocasional,Interés en su contenido
316,413,2022-09-29,Ocasional,Interés en su contenido
245,104,2021-01-09,Diaria,Interés en su contenido
1176,289,2022-10-29,Ocasional,Interés en su contenido
172,787,2025-01-20,Ocasional,Interés en su contenido
272,16,2021-09-25,Diaria,Interés en su contenido
858,661,2024-06-01,Mensual,Interés en su contenido
653,921,2022-09-21,Ocasional,Interés en su contenido
569,677,2021-05-01,Ocasional,Interés en su contenido
1363,1071,2024-02-16,Ocasional,Interés en su contenido
661,672,2023-05-21,Mensual,Interés en su contenido
1011,722,2024-04-28,Diaria,Interés en su contenido
353,522,2024-01-14,Ocasional,Interés en su contenido
883,563,2022-07-09,Diaria,Interés en su contenido
15,108,2021-01-09,Ocasional,Interés en su contenido
1073,915,2023-11-03,Mensual,Interés en su contenido
1068,850,2023-01-05,Semanal,Interés en su contenido
597,1400,2022-03-18,Diaria,Interés en su contenido
732,147,2023-12-08,Ocasional,Interés en su contenido
784,723,2022-07-14,Mensual,Interés en su contenido
666,219,2023-08-16,Semanal,Interés en su contenido
359,526,2023-05-06,Mensual,Interés en su contenido
533,141,2023-11-26,Ocasional,Interés en su contenido
607,11,2024-11-17,Semanal,Interés en su contenido
414,413,2023-01-28,Ocasional,Interés en su contenido
1095,873,2023-09-20,Diaria,Interés en su contenido
1050,478,2021-11-26,Mensual,Interés en su contenido
963,86,2023-12-04,Diaria,Interés en su contenido
927,41,2021-01-05,Semanal,Interés en su contenido
837,398,2023-05-15,Diaria,Interés en su contenido
1275,611,2022-09-04,Mensual,Interés en su contenido
316,435,2022-03-01,Ocasional,Interés en su contenido
125,356,2023-07-13,Diaria,Interés en su contenido
1421,682,2020-09-24,Diaria,Interés en su contenido
1108,1253,2021-02-12,Semanal,Interés en su contenido
63,1247,2020-12-15,Mensual,Interés en su contenido
142,436,2023-08-06,Mensual,Interés en su contenido
1369,1185,2024-07-23,Diaria,Interés en su contenido
1196,888,2023-04-17,Diaria,Interés en su contenido
1244,975,2025-02-24,Ocasional,Interés en su contenido
1180,998,2023-04-25,Semanal,Interés en su contenido
559,690,2021-04-30,Semanal,Interés en su contenido
1138,551,2022-10-18,Diaria,Interés en su contenido
430,743,2020-10-03,Ocasional,Interés en su contenido
1249,554,2024-05-10,Diaria,Interés en su contenido
612,651,2021-02-25,Diaria,Interés en su contenido
951,420,2023-10-24,Mensual,Interés en su contenido
774,1416,2024-08-05,Ocasional,Interés en su contenido
613,1044,2024-05-09,Diaria,Interés en su contenido
1174,660,2022-09-17,Ocasional,Interés en su contenido
1312,1309,2024-04-29,Semanal,Interés en su contenido
1174,515,2024-10-23,Diaria,Interés en su contenido
690,1198,2021-07-19,Diaria,Interés en su contenido
288,1348,2022-10-30,Ocasional,Interés en su contenido
3,346,2023-08-12,Mensual,Interés en su contenido
554,302,2022-04-06,Diaria,Interés en su contenido
478,185,2022-06-22,Mensual,Interés en su contenido
1087,1230,2021-11-20,Semanal,Interés en su contenido
681,1067,2021-08-17,Mensual,Interés en su contenido
1251,36,2022-11-30,Ocasional,Interés en su contenido
392,640,2020-11-24,Semanal,Interés en su contenido
84,466,2020-03-28,Diaria,Interés en su contenido
1155,902,2021-03-12,Ocasional,Interés en su contenido
965,586,2020-11-06,Ocasional,Interés en su contenido
943,743,2020-05-20,Mensual,Interés en su contenido
233,1345,2021-07-24,Mensual,Interés en su contenido
137,1052,2024-11-20,Ocasional,Interés en su contenido
548,1407,2024-08-09,Semanal,Interés en su contenido
413,8,2021-11-18,Semanal,Interés en su contenido
1242,656,2021-02-24,Ocasional,Interés en su contenido
1427,1054,2022-06-07,Mensual,Interés en su contenido
218,1169,2025-01-05,Ocasional,Interés en su contenido
326,502,2020-09-23,Semanal,Interés en su contenido
345,880,2022-06-13,Diaria,Interés en su contenido
1317,739,2020-10-20,Ocasional,Interés en su contenido
1468,1276,2020-08-09,Mensual,Interés en su contenido
340,941,2020-11-15,Ocasional,Interés en su contenido
985,600,2020-11-30,Semanal,Interés en su contenido
203,909,2021-04-02,Semanal,Interés en su contenido
1434,6,2020-07-16,Ocasional,Interés en su contenido
826,373,2020-11-05,Semanal,Interés en su contenido
1346,1316,2024-01-04,Diaria,Interés en su contenido
761,189,2022-10-02,Diaria,Interés en su contenido
960,1108,2024-02-17,Semanal,Interés en su contenido
604,301,2022-05-08,Ocasional,Interés en su contenido
741,697,2024-12-01,Mensual,Interés en su contenido
849,1276,2020-12-11,Diaria,Interés en su contenido
861,313,2022-10-26,Semanal,Interés en su contenido
274,943,2024-03-12,Semanal,Interés en su contenido
451,1339,2024-12-27,Ocasional,Interés en su contenido
244,923,2023-11-12,Diaria,Interés en su contenido
311,351,2020-12-21,Semanal,Interés en su contenido
966,1392,2025-02-25,Diaria,Interés en su contenido
74,1451,2022-06-26,Ocasional,Interés en su contenido
648,559,2021-04-03,Ocasional,Interés en su contenido
114,1375,2021-10-04,Mensual,Interés en su contenido
955,915,2024-05-30,Mensual,Interés en su contenido
1441,532,2020-08-19,Diaria,Interés en su contenido
1285,912,2021-09-26,Ocasional,Interés en su contenido
1017,643,2020-09-23,Mensual,Interés en su contenido
415,1216,2021-08-15,Diaria,Interés en su contenido
1116,1108,2022-05-06,Diaria,Interés en su contenido
927,431,2022-11-22,Ocasional,Interés en su contenido
1054,136,2024-09-26,Mensual,Interés en su contenido
1195,133,2021-06-18,Mensual,Interés en su contenido
1012,1234,2022-05-22,Diaria,Interés en su contenido
1143,1190,2024-03-20,Mensual,Interés en su contenido
757,1045,2020-03-24,Ocasional,Interés en su contenido
344,830,2024-06-25,Semanal,Interés en su contenido
1036,540,2020-05-13,Ocasional,Interés en su contenido
842,421,2024-05-22,Diaria,Interés en su contenido
319,35,2020-07-09,Ocasional,Interés en su contenido
817,163,2025-02-15,Semanal,Interés en su contenido
488,1216,2021-09-08,Ocasional,Interés en su contenido
1396,223,2024-01-29,Semanal,Interés en su contenido
235,1294,2024-07-21,Diaria,Interés en su contenido
1295,684,2023-03-29,Diaria,Interés en su contenido
1121,1120,2023-12-20,Diaria,Interés en su contenido
317,1162,2022-06-11,Ocasional,Interés en su contenido
1343,202,2021-10-17,Semanal,Interés en su contenido
55,1329,2023-08-21,Ocasional,Interés en su contenido
15,823,2022-08-09,Ocasional,Interés en su contenido
1465,1221,2021-07-18,Diaria,Interés en su contenido
243,97,2022-12-17,Ocasional,Interés en su contenido
1201,271,2022-06-27,Semanal,Interés en su contenido
986,301,2021-09-02,Semanal,Interés en su contenido
794,1134,2022-10-14,Semanal,Interés en su contenido
459,563,2024-01-30,Ocasional,Interés en su contenido
1355,623,2020-09-01,Ocasional,Interés en su contenido
95,497,2021-08-14,Mensual,Interés en su contenido
91,862,2023-06-09,Ocasional,Interés en su contenido
672,943,2021-01-26,Ocasional,Interés en su contenido
1063,1495,2022-11-11,Semanal,Interés en su contenido
392,693,2022-08-21,Mensual,Interés en su contenido
1415,914,2023-07-18,Diaria,Interés en su contenido
998,906,2023-08-09,Semanal,Interés en su contenido
208,350,2023-11-12,Semanal,Interés en su contenido
206,662,2021-04-09,Mensual,Interés en su contenido
697,1295,2020-03-01,Diaria,Interés en su contenido
1396,652,2024-04-08,Ocasional,Interés en su contenido
1385,68,2021-08-20,Mensual,Interés en su contenido
261,1319,2025-01-06,Diaria,Interés en su contenido
1075,980,2024-01-22,Semanal,Interés en su contenido
1058,561,2021-06-03,Mensual,Interés en su contenido
540,92,2021-04-09,Mensual,Interés en su contenido
753,1043,2022-02-26,Semanal,Interés en su contenido
215,157,2021-02-20,Mensual,Interés en su contenido
131,632,2024-08-08,Ocasional,Interés en su contenido
106,1335,2023-11-16,Diaria,Interés en su contenido
313,465,2020-05-15,Mensual,Interés en su contenido
101,407,2024-06-24,Ocasional,Interés en su contenido
1098,910,2023-08-23,Diaria,Interés en su contenido
665,1286,2022-03-15,Ocasional,Interés en su contenido
1094,1233,2021-12-03,Diaria,Interés en su contenido
77,1194,2022-09-23,Ocasional,Interés en su contenido
923,1266,2022-07-04,Ocasional,Interés en su contenido
1102,110,2023-02-18,Semanal,Interés en su contenido
476,1309,2022-02-11,Mensual,Interés en su contenido
1286,547,2025-02-07,Mensual,Interés en su contenido
874,1050,2023-11-22,Mensual,Interés en su contenido
540,844,2023-03-20,Ocasional,Interés en su contenido
1177,601,2020-07-20,Diaria,Interés en su contenido
475,867,2024-10-27,Ocasional,Interés en su contenido
611,45,2021-08-14,Diaria,Interés en su contenido
885,447,2024-12-30,Semanal,Interés en su contenido
1256,654,2020-04-29,Ocasional,Interés en su contenido
448,1022,2021-11-11,Semanal,Interés en su contenido
244,728,2024-07-09,Ocasional,Interés en su contenido
750,928,2022-11-22,Semanal,Interés en su contenido
1232,1441,2023-06-19,Semanal,Interés en su contenido
1357,900,2024-06-02,Semanal,Interés en su contenido
214,1043,2020-07-17,Ocasional,Interés en su contenido
1146,427,2021-05-01,Diaria,Interés en su contenido
280,1157,2024-11-21,Diaria,Interés en su contenido
679,1146,2022-09-24,Mensual,Interés en su contenido
1445,1356,2022-07-10,Mensual,Interés en su contenido
