usuario_id,seguido_id,desde,interaccion_frecuencia,razón,estado
672,1501,2024-09-05,Semanal,Interés en su contenido,No Verified
917,1501,2023-04-20,Semanal,Interés en su contenido,No Verified
75,1501,2021-08-24,Ocasional,Interés en su contenido,No Verified
227,1501,2020-05-18,Mensual,Interés en su contenido,No Verified
778,1501,2023-01-22,Ocasional,Interés en su contenido,No Verified
1336,1501,2023-10-22,Semanal,Interés en su contenido,No Verified
495,1501,2023-09-09,Diaria,Interés en su contenido,No Verified
1239,1501,2020-03-24,Ocasional,Interés en su contenido,No Verified
603,1501,2023-01-03,Mensual,Interés en su contenido,No Verified
451,1501,2025-01-24,Diaria,Interés en su contenido,No Verified
805,1501,2024-12-19,Ocasional,Interés en su contenido,No Verified
832,1501,2025-01-10,Semanal,Interés en su contenido,No Verified
651,1501,2021-10-25,Diaria,Interés en su contenido,No Verified
209,1501,2021-05-31,Mensual,Interés en su contenido,No Verified
164,1501,2020-09-18,Semanal,Interés en su contenido,No Verified
1020,1502,2025-01-26,Ocasional,Interés en su contenido,No Verified
501,1502,2024-02-06,Mensual,Interés en su contenido,No Verified
1469,1502,2022-06-27,Semanal,Interés en su contenido,No Verified
1109,1502,2023-08-02,Ocasional,Interés en su contenido,No Verified
177,1502,2023-05-11,Diaria,Interés en su contenido,No Verified
742,1502,2023-07-10,Mensual,Interés en su contenido,No Verified
689,1502,2021-12-04,Semanal,Interés en su contenido,No Verified
826,1502,2024-09-07,Semanal,Interés en su contenido,No Verified
1155,1502,2021-06-05,Diaria,Interés en su contenido,No Verified
685,1502,2023-05-02,Ocasional,Interés en su contenido,No Verified
635,1502,2023-08-25,Semanal,Interés en su contenido,No Verified
760,1502,2020-07-24,Ocasional,Interés en su contenido,No Verified
921,1502,2021-07-05,Semanal,Interés en su contenido,No Verified
1480,1502,2024-08-22,Diaria,Interés en su contenido,No Verified
203,1502,2023-12-11,Ocasional,Interés en su contenido,No Verified
301,1503,2023-07-08,Mensual,Interés en su contenido,No Verified
1467,1503,2020-12-13,Semanal,Interés en su contenido,No Verified
77,1503,2023-11-26,Diaria,Interés en su contenido,No Verified
935,1503,2023-09-07,Semanal,Interés en su contenido,No Verified
40,1503,2024-09-26,Ocasional,Interés en su contenido,No Verified
731,1503,2020-12-19,Semanal,Interés en su contenido,No Verified
410,1503,2022-01-19,Mensual,Interés en su contenido,No Verified
1262,1504,2024-06-23,Diaria,Interés en su contenido,No Verified
776,1504,2024-12-18,Diaria,Interés en su contenido,No Verified
86,1504,2021-02-27,Semanal,Interés en su contenido,No Verified
1002,1504,2020-05-08,Diaria,Interés en su contenido,No Verified
47,1504,2021-04-11,Mensual,Interés en su contenido,No Verified
1404,1504,2020-07-03,Mensual,Interés en su contenido,No Verified
1062,1504,2024-10-20,Semanal,Interés en su contenido,No Verified
1324,1504,2024-06-01,Semanal,Interés en su contenido,No Verified
674,1504,2022-10-26,Diaria,Interés en su contenido,No Verified
203,1504,2020-06-12,Ocasional,Interés en su contenido,No Verified
1206,1504,2021-08-29,Diaria,Interés en su contenido,No Verified
610,1504,2024-09-12,Mensual,Interés en su contenido,No Verified
1309,1504,2025-02-13,Semanal,Interés en su contenido,No Verified
165,1504,2022-02-23,Diaria,Interés en su contenido,No Verified
343,1504,2023-09-27,Semanal,Interés en su contenido,No Verified
333,1505,2023-01-01,Ocasional,Interés en su contenido,No Verified
330,1505,2020-04-27,Ocasional,Interés en su contenido,No Verified
425,1505,2020-07-12,Mensual,Interés en su contenido,No Verified
902,1505,2022-04-16,Mensual,Interés en su contenido,No Verified
1409,1505,2020-09-18,Semanal,Interés en su contenido,No Verified
1394,1506,2020-05-07,Ocasional,Interés en su contenido,No Verified
1292,1506,2024-09-10,Diaria,Interés en su contenido,No Verified
190,1506,2022-11-10,Semanal,Interés en su contenido,No Verified
357,1506,2024-01-21,Mensual,Interés en su contenido,No Verified
13,1506,2024-11-25,Mensual,Interés en su contenido,No Verified
1480,1506,2024-11-24,Diaria,Interés en su contenido,No Verified
1202,1506,2021-07-10,Ocasional,Interés en su contenido,No Verified
1474,1506,2022-11-12,Diaria,Interés en su contenido,No Verified
1322,1506,2024-08-16,Semanal,Interés en su contenido,No Verified
259,1506,2022-06-23,Diaria,Interés en su contenido,No Verified
465,1506,2021-05-14,Ocasional,Interés en su contenido,No Verified
1377,1506,2021-09-26,Mensual,Interés en su contenido,No Verified
921,1506,2020-04-30,Diaria,Interés en su contenido,No Verified
230,1506,2024-07-11,Ocasional,Interés en su contenido,No Verified
60,1507,2023-05-18,Mensual,Interés en su contenido,No Verified
154,1507,2023-03-12,Semanal,Interés en su contenido,No Verified
654,1507,2021-03-29,Ocasional,Interés en su contenido,No Verified
1390,1507,2020-08-14,Diaria,Interés en su contenido,No Verified
82,1507,2024-01-12,Mensual,Interés en su contenido,No Verified
47,1507,2024-05-29,Diaria,Interés en su contenido,No Verified
627,1507,2022-08-30,Semanal,Interés en su contenido,No Verified
1492,1507,2024-08-13,Semanal,Interés en su contenido,No Verified
1341,1507,2023-06-25,Ocasional,Interés en su contenido,No Verified
449,1507,2020-07-31,Diaria,Interés en su contenido,No Verified
1074,1507,2021-09-12,Mensual,Interés en su contenido,No Verified
1226,1508,2023-03-06,Semanal,Interés en su contenido,No Verified
213,1508,2023-08-18,Semanal,Interés en su contenido,No Verified
898,1508,2022-02-22,Diaria,Interés en su contenido,No Verified
1197,1508,2024-03-18,Diaria,Interés en su contenido,No Verified
1135,1508,2024-06-29,Diaria,Interés en su contenido,No Verified
385,1508,2020-12-16,Semanal,Interés en su contenido,No Verified
80,1508,2020-12-07,Ocasional,Interés en su contenido,No Verified
386,1508,2023-06-21,Diaria,Interés en su contenido,No Verified
1445,1509,2020-08-14,Semanal,Interés en su contenido,No Verified
1172,1509,2023-11-23,Mensual,Interés en su contenido,No Verified
744,1509,2021-06-08,Ocasional,Interés en su contenido,No Verified
798,1509,2023-12-05,Semanal,Interés en su contenido,No Verified
645,1509,2022-03-28,Semanal,Interés en su contenido,No Verified
