id,nombre,descripcion,privado,miembros
1,Lee-Jones,Teacher loss budget join no increase assume science expert high to agent.,False,656
2,Scott PLC,Though seek run find exactly who use soldier individual figure total wrong ask best.,True,663
3,Hunt-Murphy,Identify discuss PM affect nation positive thousand environmental nature.,False,505
4,Martinez PLC,Listen save three identify top act morning another question want today meet.,True,908
5,"Johnson, Dodson and Anderson",Way southern continue money color assume day realize almost vote nation.,False,870
6,Duran Group,Back nor ready might couple treat several operation cut season.,True,906
7,Torres Inc,About together modern school everyone born ball experience include oil.,False,694
8,"Woods, Hoffman and Dickson",Special data doctor road power thousand claim maintain receive next next hair together process control.,False,511
9,"Gordon, Wright and Randolph",Customer main impact prepare each financial trial list.,False,622
10,"Gibson, Smith and Dixon",Our add civil tree rate most audience full air onto individual.,False,566
11,"Jones, Schmidt and Caldwell",Participant determine possible forget plant development series around news choice whether contain large.,False,312
12,"Davis, Simmons and Bailey",First still instead might chance watch simply amount cold feel memory between quickly future son public.,True,234
13,Hall Inc,Marriage ahead quickly evidence make yet everybody worker support no yet effort join.,True,996
14,Johnson PLC,Serious campaign nature film form control staff name window international.,False,439
15,Castillo and Sons,Something learn imagine region wind could then rather political.,False,343
16,"Allen, Grant and Heath",Interview significant factor recently order economy despite.,True,688
17,Sullivan-Erickson,Little strong he sit town medical government garden laugh research.,False,128
18,"Cox, Taylor and Lynch",Measure including movie race source treatment court factor must not coach serve.,True,485
19,Johnson-Anderson,Food consumer strategy hope policy choice worry speech community four where.,False,686
20,"Payne, Jones and Sanders",Rich while just in shake operation able street.,True,365
21,"Haney, Barber and Johnson",Make bed church particularly state visit mention heart five build.,False,731
22,"Gutierrez, Castaneda and Mendez",Leg wonder term summer second deal so question dog performance allow put some onto consider top.,True,802
23,Clay Group,Large half little miss defense chance author action trade many security about.,False,870
24,Long-Savage,Yard long model personal what exist anything identify single second up stock.,False,625
25,Johns-Brock,Process create bad her again realize fall really.,False,713
26,Burke-Park,Member fall discover real these hit people later.,True,39
27,Cook-Conner,Hotel admit news environmental yourself individual head dog modern church picture.,False,284
28,"Bush, Cisneros and Chapman",Rise national sit visit spend boy letter floor new eye eye after.,True,921
29,Zavala-Pace,Knowledge four catch sea building nor drop late argue clearly pressure throw decade against position.,False,72
30,Phillips-Acevedo,Rather be culture year require form keep particularly.,False,277
31,Gillespie Group,Garden hold system sense magazine voice arm political wait.,False,431
32,Griffin-Rose,Kind available race board skin expect door magazine low here.,False,838
33,Obrien-Ballard,Sea rest car that him design bag instead finish single.,False,445
34,"Holden, Lamb and Johnson",Figure enough agency clear relate third everyone fear nice say catch subject land number what dog.,False,276
35,Hughes-Adams,Minute subject page on owner account she million discussion tree would father much dream once.,True,284
36,"Hardy, Hanson and Bishop",So employee everything leader laugh gun evening risk lose include article.,False,755
37,King-Wilcox,Near everyone area fish bed party particularly use high.,True,357
38,Allen PLC,Word wait all fire model our ready put affect.,True,325
39,"Lucas, Nichols and Castillo",Three like ahead course pressure perhaps study.,False,429
40,"Burton, Galloway and Long",Study us yourself long sign significant special sport begin word sing attack idea image.,True,596
41,"Gonzales, Hubbard and Rose",Identify discussion difficult no debate move drop voice.,True,558
42,Garner Group,Field standard middle field particular I hand stay note.,True,808
43,Johnson-Edwards,Father white sort stage whole power expert car present herself answer must all.,True,980
44,Haynes PLC,Economic effort medical mouth true smile operation state green teach focus eye great modern people out.,False,142
45,Ho PLC,Theory could size firm south address evening well until.,True,983
46,"Bryant, Palmer and Adams",Left military wish behavior specific lose sport rock success.,True,831
47,"Horn, Brock and Perez",Job success financial choice behavior environment someone language white base than response.,False,102
48,Henson Ltd,Apply increase assume degree movement as practice there main early Congress impact.,False,944
49,Lewis Ltd,Hard throw gun involve as stand song detail service exactly without lawyer community.,False,795
50,Turner-Williams,Want send pay relate member own throughout quickly still word fund spring energy conference picture who.,True,680
51,Martinez-Duke,South position market wrong be serve site yourself exist represent somebody suggest each.,True,541
52,Hampton-Ford,Peace me same adult recognize movie why prove appear generation value.,True,380
53,Butler-Bell,Arrive pattern product popular board person site give option.,True,170
54,Fowler and Sons,Draw ability budget movement her direction shake site even street campaign administration.,False,890
55,King-Smith,Wrong sister rule decision offer value answer line market address system range ok support dream even.,True,307
56,"Gallagher, Clark and Lopez",City home agent former hair remember religious vote right him challenge measure parent he someone run.,True,942
57,Payne-Robinson,Organization own significant debate ahead radio bag much meet seven.,False,349
58,"Gonzales, Morse and Glover",Vote address suffer future conference than meeting page million activity take night none sport piece.,False,230
59,"Vincent, Becker and Carter",Strategy send game information protect quickly help.,True,972
60,Smith-Clark,Language vote southern medical ground later foreign some need.,True,46
61,Beck Inc,Game word town animal hundred thus treat though wonder decade again human employee mouth.,True,783
62,Cowan-Lee,Among fear some station single actually local player off.,True,523
63,Stout Ltd,See a attack around cultural huge travel particular wife author house south education by item without.,False,820
64,Perry-Fisher,At ahead reason detail consumer game happen write religious myself blood range time seem.,False,53
65,Curtis Inc,Bag tend determine bed citizen notice another stuff manage attorney scene then represent.,True,299
66,Clark-Johnson,Agency father news professional benefit make defense surface feel student edge exactly.,False,34
67,Johnson Inc,Article lawyer popular man laugh mother peace authority business brother art claim part.,True,656
68,"Guerrero, Ruiz and Patrick",Result risk pretty lay same should even point question science much have series last again.,True,44
69,Shaffer and Sons,Pick that floor open road evidence majority owner bar win stand set respond.,False,777
70,"Roberson, Robinson and Summers",More music table fire describe amount above firm degree enough deep enough stand company.,True,842
71,Allison-Smith,Hotel shoulder glass energy girl speech simply its fact.,False,681
72,"Davis, Coleman and Rice",Ball likely stand star play apply successful give clearly listen when word.,False,144
73,Jennings Inc,Short apply watch truth network wind sport writer actually threat middle investment reason blue sign.,False,892
74,"Smith, Torres and Hobbs",Huge five stock less low behavior card blood.,True,88
75,Black-Smith,Tonight who surface the yourself too wind tree campaign free usually low stock later authority.,True,526
76,Hubbard-Boyle,Improve population ever yeah story beyond line dog themselves style into notice course level with.,False,30
77,Jackson-Stevens,Mrs strong policy man lot send quite occur because phone history different.,True,770
78,Mccann Ltd,Prevent science air enter right think good position article key.,True,107
79,"Cochran, Bell and Cowan",Per watch rock piece development difference practice maintain.,False,208
80,Hernandez-Robbins,Away before police politics with general range teach discover sing similar before call.,False,813
