usuario_id,contenido_id,tipo_contenido,fecha_like,tipo,desde_movil
355,90,Post,2020-03-25,❤️,False
584,100,Post,2022-07-26,👍,True
1405,487,Post,2022-09-25,🔥,True
1169,888,Post,2020-04-29,❤️,False
1204,88,Post,2021-01-09,❤️,True
1364,484,Post,2021-07-01,😡,False
1063,348,Post,2020-10-17,🔥,True
1147,1091,Post,2023-12-09,😡,True
1082,609,Post,2024-11-17,😂,False
1065,204,Post,2023-01-24,😢,False
886,828,Post,2023-10-07,❤️,False
277,17,Post,2021-11-24,😡,True
613,1050,Post,2022-10-17,🔥,True
381,603,Post,2021-11-08,❤️,False
891,599,Post,2023-07-22,😢,False
305,846,Post,2020-09-28,😂,False
62,528,Post,2022-06-25,😢,True
1402,341,Post,2023-01-08,😢,False
833,491,Post,2023-04-03,😢,False
1062,191,Post,2020-06-06,🔥,False
909,620,Post,2020-11-15,😂,True
638,795,Post,2021-06-25,😡,False
1360,181,Post,2020-04-15,😂,False
787,445,Post,2022-04-16,😡,False
511,189,Post,2022-03-08,😂,False
896,827,Post,2020-11-09,😂,True
402,572,Post,2021-07-05,👍,True
1284,776,Post,2024-08-26,😡,True
1138,1158,Post,2023-11-07,😢,False
1207,796,Post,2024-09-17,😢,False
1368,1064,Post,2023-10-07,👍,True
1355,1102,Post,2023-10-17,❤️,True
1181,299,Post,2024-01-16,❤️,True
546,786,Post,2023-11-19,😡,False
282,381,Post,2023-02-02,👍,True
958,426,Post,2023-06-01,❤️,False
1448,1143,Post,2022-08-25,😂,True
793,132,Post,2023-07-20,❤️,False
1008,617,Post,2024-06-02,🔥,False
1016,1027,Post,2021-11-12,❤️,True
544,676,Post,2023-05-30,😂,False
1406,667,Post,2022-03-19,🔥,False
1357,818,Post,2021-11-27,🔥,False
943,1029,Post,2021-06-08,😢,True
111,723,Post,2020-06-13,😂,True
270,811,Post,2024-12-27,🔥,False
1335,870,Post,2022-07-21,😂,False
1233,541,Post,2024-08-07,❤️,False
460,340,Post,2020-12-15,😢,True
753,842,Post,2023-08-11,👍,False
890,728,Post,2024-06-20,❤️,False
519,364,Post,2023-03-03,👍,True
598,310,Post,2021-10-10,👍,False
908,513,Post,2020-11-17,😢,True
756,282,Post,2025-02-08,👍,True
668,170,Post,2025-01-27,🔥,True
1171,1081,Post,2020-03-02,😂,True
697,838,Post,2024-08-14,😂,True
483,459,Post,2024-03-02,😂,False
102,1113,Post,2020-06-08,👍,False
385,381,Post,2020-09-21,❤️,False
867,842,Post,2022-09-28,🔥,True
382,1004,Post,2023-05-22,🔥,True
572,264,Post,2021-02-11,❤️,True
1123,197,Post,2024-07-14,👍,False
84,1036,Post,2024-02-24,😡,True
1006,89,Post,2020-08-20,👍,False
310,260,Post,2021-07-18,😡,True
1083,548,Post,2024-03-16,😂,False
1341,606,Post,2022-02-04,😡,False
742,43,Post,2021-04-03,😂,True
969,39,Post,2022-06-03,🔥,True
720,880,Post,2023-06-21,👍,True
594,442,Post,2024-01-30,😂,True
92,640,Post,2024-09-24,👍,False
982,751,Post,2022-02-13,👍,True
83,877,Post,2020-11-28,👍,True
1220,314,Post,2022-09-30,❤️,True
823,1126,Post,2023-06-15,😡,False
589,695,Post,2022-07-15,❤️,False
226,579,Post,2021-06-29,😢,True
318,90,Post,2022-12-29,😂,True
170,259,Post,2020-05-25,😢,False
510,179,Post,2024-06-22,❤️,False
871,843,Post,2024-07-21,😂,False
89,360,Post,2021-08-25,❤️,True
823,178,Post,2022-03-05,😢,False
696,1045,Post,2021-05-10,👍,False
299,514,Post,2022-05-28,😢,False
680,693,Post,2021-11-03,❤️,False
936,285,Post,2023-08-25,👍,True
830,969,Post,2025-01-04,🔥,True
295,932,Post,2023-10-29,🔥,False
231,16,Post,2022-10-01,👍,False
1404,895,Post,2023-12-18,😡,False
86,873,Post,2024-04-29,😡,True
654,947,Post,2021-12-18,👍,True
365,171,Post,2021-06-01,🔥,True
785,930,Post,2022-04-10,🔥,True
370,494,Post,2024-05-03,😂,True
1177,471,Post,2021-06-27,🔥,True
35,759,Post,2022-04-30,😂,False
1194,655,Post,2021-07-21,👍,False
678,969,Post,2021-07-24,👍,False
1192,608,Post,2020-11-21,❤️,True
222,1082,Post,2022-04-03,❤️,True
303,556,Post,2022-02-11,❤️,False
1400,543,Post,2021-04-30,😢,False
1287,678,Post,2022-10-03,🔥,True
1175,51,Post,2020-03-13,❤️,True
624,141,Post,2023-07-02,🔥,True
662,625,Post,2020-10-06,😡,True
648,202,Post,2024-07-20,👍,True
390,583,Post,2023-07-31,😢,False
1482,508,Post,2022-08-10,❤️,False
416,488,Post,2023-08-04,👍,False
988,755,Post,2020-04-28,🔥,False
397,954,Post,2023-03-12,🔥,True
6,1184,Post,2023-07-10,😡,False
245,831,Post,2021-06-04,😂,True
924,920,Post,2023-12-18,👍,True
197,948,Post,2022-04-19,👍,False
903,126,Post,2023-04-23,👍,True
699,348,Post,2020-05-19,😡,True
435,1158,Post,2023-04-09,🔥,False
190,920,Post,2023-08-12,🔥,False
780,1084,Post,2023-03-15,👍,False
776,911,Post,2024-08-10,😂,True
727,194,Post,2021-07-31,😢,True
1412,1153,Post,2023-05-28,❤️,True
1437,142,Post,2020-11-11,👍,False
1477,744,Post,2023-10-22,😡,True
776,1123,Post,2025-02-10,❤️,True
1470,151,Post,2020-12-16,😢,True
770,589,Post,2021-11-07,🔥,False
58,1064,Post,2022-07-04,😡,False
1481,615,Post,2022-01-17,👍,False
718,607,Post,2024-08-05,😂,True
685,1170,Post,2020-10-02,❤️,False
957,44,Post,2021-06-25,🔥,False
783,756,Post,2023-01-14,👍,False
803,369,Post,2024-12-02,👍,False
1102,657,Post,2020-07-21,😢,True
1337,374,Post,2021-09-24,😢,True
1190,328,Post,2022-11-16,😢,True
